ЛК Информатизация организаций атомной отрасли Преподаватель: Миронов Андрей Иванович   А-214 (В-78)
ПР Информатизация организаций атомной отрасли  Д-313 (В-78)
ПР Информатизация организаций атомной отрасли  Д-313 (В-78)
ПР Конфигурационное управление  Г-101 (В-78)
ПР Конфигурационное управление  Г-101 (В-78)
ПР Программирование на языке Джава  Е-110-2 (В-78)
ПР Программирование на языке Джава  Е-110-2 (В-78)
ПР Программирование на языке Джава  Е-110-2 (В-78)
ПР Программирование на языке Джава  Е-110-2 (В-78)
ПР Физическая культура и спорт (элективная дисциплина)  ФОК-10 (В-78)
ПР Физическая культура и спорт (элективная дисциплина)  ФОК-10 (В-78)
ЛК Программирование на языке Джава Преподаватель: Коваленко Михаил Андреевич   А-2 (В-78)
ЛК Экономическая культура Преподаватель: Черненькая Ирина Геннадьевна   А-2 (В-78)
ПР Экономическая культура Преподаватель: Черненькая Ирина Геннадьевна  А-311 (В-78)
